Wavelength,"Alexa Fluor 532 (EM)","Alexa Fluor 555 (EM)",
520.00,0.0570100000,,
521.00,0.0635800000,,
522.00,0.0733200000,,
523.00,0.0864900000,,
524.00,0.1006900000,,
525.00,0.1177800000,,
526.00,0.1362400000,,
527.00,0.1603100000,,
528.00,0.1849200000,,
529.00,0.2117600000,,
530.00,0.2460400000,,
531.00,0.2824500000,,
532.00,0.3198500000,,
533.00,0.3571100000,,
534.00,0.3985900000,,
535.00,0.4402900000,0.0192800000,
536.00,0.4841700000,0.0208100000,
537.00,0.5299000000,0.0231800000,
538.00,0.5771800000,0.0250600000,
539.00,0.6207000000,0.0304700000,
540.00,0.6659300000,0.0372400000,
541.00,0.7112000000,0.0429300000,
542.00,0.7572900000,0.0543100000,
543.00,0.7942000000,0.0647600000,
544.00,0.8348900000,0.0793200000,
545.00,0.8667600000,0.0959000000,
546.00,0.8971000000,0.1160800000,
547.00,0.9234100000,0.1400500000,
548.00,0.9445200000,0.1669000000,
549.00,0.9611600000,0.1961500000,
550.00,0.9781000000,0.2373700000,
551.00,0.9896700000,0.2752600000,
552.00,0.9961500000,0.3214900000,
553.00,1.0000000000,0.3717300000,
554.00,0.9976200000,0.4243100000,
555.00,0.9923500000,0.4858000000,
556.00,0.9873600000,0.5450800000,
557.00,0.9770100000,0.6002800000,
558.00,0.9657800000,0.6674200000,
559.00,0.9488800000,0.7259400000,
560.00,0.9293300000,0.7797700000,
561.00,0.9107100000,0.8270900000,
562.00,0.8927700000,0.8729100000,
563.00,0.8699800000,0.9129000000,
564.00,0.8457700000,0.9482500000,
565.00,0.8251300000,0.9703700000,
566.00,0.8012900000,0.9887500000,
567.00,0.7756400000,0.9969200000,
568.00,0.7550600000,1.0000000000,
569.00,0.7306400000,0.9922800000,
570.00,0.7078200000,0.9785800000,
571.00,0.6844300000,0.9645900000,
572.00,0.6607000000,0.9481200000,
573.00,0.6396500000,0.9265300000,
574.00,0.6196900000,0.8889900000,
575.00,0.5969400000,0.8621800000,
576.00,0.5789900000,0.8361400000,
577.00,0.5642400000,0.7991900000,
578.00,0.5438700000,0.7677600000,
579.00,0.5260400000,0.7383600000,
580.00,0.5113500000,0.7047200000,
581.00,0.4937900000,0.6808600000,
582.00,0.4797500000,0.6504800000,
583.00,0.4646100000,0.6279900000,
584.00,0.4502800000,0.5972500000,
585.00,0.4391000000,0.5724400000,
586.00,0.4282900000,0.5491400000,
587.00,0.4126700000,0.5234200000,
588.00,0.4046800000,0.5089100000,
589.00,0.3934700000,0.4884900000,
590.00,0.3816900000,0.4743600000,
591.00,0.3720100000,0.4626800000,
592.00,0.3628400000,0.4521800000,
593.00,0.3519200000,0.4369700000,
594.00,0.3438900000,0.4319800000,
595.00,0.3379400000,0.4244700000,
596.00,0.3259300000,0.4176700000,
597.00,0.3159900000,0.4146700000,
598.00,0.3067900000,0.4135100000,
599.00,0.2999800000,0.4082800000,
600.00,0.2905300000,0.4053900000,
601.00,0.2843800000,0.4072600000,
