Wavelength,"ECFP (Tsien 1998) (EX)","ECFP (Tsien 1998) (EM)",
304.00,0.2195000000,,
305.00,0.2143100000,,
306.00,0.1857400000,,
307.00,0.1740500000,,
308.00,0.1623700000,,
309.00,0.1467900000,,
310.00,0.1377000000,,
311.00,0.1299200000,,
312.00,0.1234300000,,
313.00,0.1195400000,,
314.00,0.1169400000,,
315.00,0.1130500000,,
316.00,0.1065600000,,
317.00,0.1013700000,,
318.00,0.0961800000,,
319.00,0.0935900000,,
320.00,0.0909900000,,
321.00,0.0884000000,,
322.00,0.0871100000,,
323.00,0.0845200000,,
324.00,0.0832200000,,
325.00,0.0806300000,,
326.00,0.0780300000,,
327.00,0.0754400000,,
328.00,0.0754400000,,
329.00,0.0741500000,,
330.00,0.0754600000,,
331.00,0.0754600000,,
332.00,0.0728600000,,
333.00,0.0702700000,,
334.00,0.0689800000,,
335.00,0.0702800000,,
336.00,0.0689900000,,
337.00,0.0664000000,,
338.00,0.0664000000,,
339.00,0.0677000000,,
340.00,0.0677100000,,
341.00,0.0664100000,,
342.00,0.0677200000,,
343.00,0.0677200000,,
344.00,0.0677300000,,
345.00,0.0690300000,,
346.00,0.0703300000,,
347.00,0.0716300000,,
348.00,0.0729400000,,
349.00,0.0729400000,,
350.00,0.0729500000,,
351.00,0.0742500000,,
352.00,0.0755500000,,
353.00,0.0781500000,,
354.00,0.0781600000,,
355.00,0.0794600000,,
356.00,0.0820600000,,
357.00,0.0833700000,,
358.00,0.0846700000,,
359.00,0.0872700000,,
360.00,0.0885700000,,
361.00,0.0924700000,,
362.00,0.0963700000,,
363.00,0.1002700000,,
364.00,0.1041700000,,
365.00,0.1067800000,,
366.00,0.1106800000,,
367.00,0.1171800000,,
368.00,0.1210800000,,
369.00,0.1236800000,,
370.00,0.1301700000,,
371.00,0.1340700000,,
372.00,0.1405700000,,
373.00,0.1470700000,,
374.00,0.1535700000,,
375.00,0.1600700000,,
376.00,0.1691600000,,
377.00,0.1769600000,,
378.00,0.1847600000,,
379.00,0.1938500000,,
380.00,0.2042400000,,
381.00,0.2133400000,,
382.00,0.2263300000,,
383.00,0.2367200000,,
384.00,0.2497200000,,
385.00,0.2614100000,,
386.00,0.2692000000,,
387.00,0.2796000000,,
388.00,0.2925900000,,
389.00,0.3055800000,,
390.00,0.3224700000,,
391.00,0.3354600000,,
392.00,0.3458500000,,
393.00,0.3627400000,,
394.00,0.3770300000,,
395.00,0.3978200000,,
396.00,0.4199000000,,
397.00,0.4328900000,,
398.00,0.4588700000,,
399.00,0.4757600000,,
400.00,0.4913400000,0.0147200000,
401.00,0.5095300000,0.0147200000,
402.00,0.5264200000,0.0147300000,
403.00,0.5498000000,0.0147300000,
404.00,0.5757800000,0.0147400000,
405.00,0.5900700000,0.0160400000,
406.00,0.6056600000,0.0160500000,
407.00,0.6147500000,0.0160500000,
408.00,0.6329400000,0.0160500000,
409.00,0.6524200000,0.0160600000,
410.00,0.6745000000,0.0160600000,
411.00,0.6913900000,0.0160700000,
412.00,0.7043800000,0.0173700000,
413.00,0.7173700000,0.0173800000,
414.00,0.7316600000,0.0186800000,
415.00,0.7446600000,0.0212800000,
416.00,0.7654400000,0.0212800000,
417.00,0.7823300000,0.0225900000,
418.00,0.8005100000,0.0225900000,
419.00,0.8316900000,0.0213000000,
420.00,0.8446800000,0.0213000000,
421.00,0.8615600000,0.0213100000,
422.00,0.8771500000,0.0213100000,
423.00,0.8966400000,0.0213100000,
424.00,0.9148200000,0.0239200000,
425.00,0.9291100000,0.0252200000,
426.00,0.9460000000,0.0252200000,
427.00,0.9667900000,0.0265300000,
428.00,0.9823700000,0.0278300000,
429.00,0.9888700000,0.0291300000,
430.00,1.0083600000,0.0291400000,
431.00,1.0083600000,0.0304400000,
432.00,1.0057700000,0.0317400000,
433.00,1.0070700000,0.0317500000,
434.00,1.0044700000,0.0330500000,
435.00,1.0031800000,0.0330500000,
436.00,0.9979900000,0.0343600000,
437.00,0.9902000000,0.0343600000,
438.00,0.9811200000,0.0356600000,
439.00,0.9694300000,0.0369700000,
440.00,0.9590500000,0.0382700000,
441.00,0.9486600000,0.0408700000,
442.00,0.9278900000,0.0421800000,
443.00,0.9304900000,0.0447800000,
444.00,0.9304900000,0.0512800000,
445.00,0.9201100000,0.0603700000,
446.00,0.9097200000,0.0629700000,
447.00,0.9097300000,0.0668700000,
448.00,0.9110300000,0.0746700000,
449.00,0.9097400000,0.0837600000,
450.00,0.9058500000,0.0980500000,
451.00,0.9110400000,0.1045500000,
452.00,0.9110500000,0.1253400000,
453.00,0.8980600000,0.1409200000,
