Wavelength,"EYFP (EX)","EYFP (EM)",
350.00,,0.0484100000,
351.00,,0.0483100000,
352.00,,0.0483700000,
353.00,,0.0490200000,
354.00,,0.0497100000,
355.00,,0.0494300000,
356.00,,0.0504300000,
357.00,,0.0508000000,
358.00,,0.0514000000,
359.00,,0.0514000000,
360.00,,0.0514000000,
361.00,,0.0514000000,
362.00,,0.0514000000,
363.00,,0.0514000000,
364.00,,0.0514000000,
365.00,,0.0514000000,
366.00,,0.0514000000,
367.00,,0.0514000000,
368.00,,0.0519100000,
369.00,,0.0532200000,
370.00,,0.0534000000,
371.00,,0.0534100000,
372.00,,0.0534400000,
373.00,,0.0536300000,
374.00,,0.0540900000,
375.00,,0.0547100000,
376.00,,0.0545900000,
377.00,,0.0550600000,
378.00,,0.0560500000,
379.00,,0.0555700000,
380.00,,0.0557300000,
381.00,,0.0565800000,
382.00,,0.0571900000,
383.00,,0.0571900000,
384.00,,0.0586100000,
385.00,,0.0581800000,
386.00,,0.0591300000,
387.00,,0.0602500000,
388.00,,0.0603000000,
389.00,,0.0594300000,
390.00,,0.0595400000,
391.00,,0.0614600000,
392.00,,0.0619600000,
393.00,,0.0603900000,
394.00,,0.0589000000,
395.00,,0.0589900000,
396.00,,0.0597100000,
397.00,,0.0600500000,
398.00,,0.0604700000,
399.00,,0.0568700000,
400.00,,0.0571900000,
401.00,,0.0574800000,
402.00,,0.0574800000,
403.00,,0.0562400000,
404.00,,0.0574200000,
405.00,,0.0571700000,
406.00,,0.0544700000,
407.00,,0.0526100000,
408.00,,0.0551500000,
409.00,,0.0537700000,
410.00,,0.0524700000,
411.00,,0.0517200000,
412.00,,0.0522400000,
413.00,,0.0509600000,
414.00,,0.0478400000,
415.00,,0.0480300000,
416.00,,0.0471500000,
417.00,,0.0451000000,
418.00,,0.0448000000,
419.00,,0.0435000000,
420.00,,0.0428300000,
421.00,,0.0425300000,
422.00,,0.0390200000,
423.00,,0.0368000000,
424.00,,0.0350700000,
425.00,,0.0355800000,
426.00,,0.0350200000,
427.00,,0.0352500000,
428.00,,0.0332600000,
429.00,,0.0344400000,
430.00,,0.0337000000,
431.00,,0.0304400000,
432.00,,0.0301700000,
433.00,,0.0355100000,
434.00,,0.0329100000,
